{'Ggid': 'GGID_マルス', 'Level': '', 'InheritanceSkills': '', 'SynchroSkills': '', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '', 'AptitudeCostSword': '', 'AptitudeCostLance': '', 'AptitudeCostAxe': '', 'AptitudeCostBow': '', 'AptitudeCostDagger': '', 'AptitudeCostMagic': '', 'AptitudeCostRod': '', 'AptitudeCostFist': '', 'AptitudeCostSpecial': '', 'Flag': '0'}
{'Ggid': '', 'Level': '1', 'InheritanceSkills': 'SID_見切り;SID_回避＋１０;', 'SynchroSkills': 'SID_見切り;SID_力＋１;SID_技＋１;SID_速さ＋１;SID_メディウス特効;', 'EngageSkills': 'SID_カウンター;SID_敵エンゲージ技ダメージ軽減;', 'EngageItems': 'IID_マルス_レイピア;', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '2', 'InheritanceSkills': 'SID_剣術・柔１;', 'SynchroSkills': 'SID_技＋２;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '3', 'InheritanceSkills': 'SID_ブレイク時追撃;', 'SynchroSkills': 'SID_ブレイク時追撃;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '4', 'InheritanceSkills': 'SID_回避＋１５;', 'SynchroSkills': 'SID_速さ＋２;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '5', 'InheritanceSkills': '', 'SynchroSkills': '', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '1'}
{'Ggid': '', 'Level': '6', 'InheritanceSkills': 'SID_剣術・柔２;', 'SynchroSkills': 'SID_力＋２;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '7', 'InheritanceSkills': 'SID_不屈;', 'SynchroSkills': 'SID_不屈;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '8', 'InheritanceSkills': 'SID_剣術・柔３;', 'SynchroSkills': '', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '2', 'AptitudeCostNone': '0', 'AptitudeCostSword': '100', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '9', 'InheritanceSkills': 'SID_回避＋２０;', 'SynchroSkills': 'SID_技＋３;', 'EngageSkills': '', 'EngageItems': '', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
{'Ggid': '', 'Level': '10', 'InheritanceSkills': '', 'SynchroSkills': '', 'EngageSkills': '', 'EngageItems': 'IID_マルス_メリクルソード;', 'EngageCooperations': '', 'EngageHorses': '', 'EngageCoverts': '', 'EngageHeavys': '', 'EngageFlys': '', 'EngageMagics': '', 'EngagePranas': '', 'EngageDragons': '', 'Aptitude': '0', 'AptitudeCostNone': '0', 'AptitudeCostSword': '0', 'AptitudeCostLance': '0', 'AptitudeCostAxe': '0', 'AptitudeCostBow': '0', 'AptitudeCostDagger': '0', 'AptitudeCostMagic': '0', 'AptitudeCostRod': '0', 'AptitudeCostFist': '0', 'AptitudeCostSpecial': '0', 'Flag': '0'}
